Wealthfront’s Career-,
Launching Companies List,
2017 EDITION,
A,
Act-On So*ware,Cloud-based integrated markeDng plaEorm
"Portland, OR",
Affirmed Networks,Mobile network soluDons
"Boston, MA",
Alien Vault,
,Threat management plaEorm
"San Mateo, CA",
Anaplan,Financial planning and modeling soHware
"San Francisco, CA",
App Annie,Business intelligence soluDons
"San Francisco, CA",
AppDynamics,ApplicaDon performance management soluDons for
"San Francisco, CA",highly distributed applicaDons
Automa<c,Content management plaEorm for blogs and websites
"San Francisco, CA",
Avalara,Sales tax compliance soluDons
"SeaAle, WA",
Avvo,"Legal marketplace, directory, and quesDon-"
"SeaAle, WA",and-answer forum

B,
Big Switch Networks,SDN white box switching
"Santa Clara, CA",
Blue Apron,Grocery delivery service company
"New York, NY",
Blue Jeans Network,Video conferencing services
"Mountain View, CA",
Bonobos,E-commerce driven clothing brand
"New York, NY",
Buzzfeed,Social news and entertainment
"New York, NY",
C,
Carbon3D,3D manufacturing
"Redwood City, CA",
Carbon Black,Endpoint and server security
"Cambridge, MA",
Chartboost,PlaIorm for game developers to market their products
"San Francisco, CA",
Checkr,Professional background checks
"San Francisco, CA",
Clever,PlaIorm for extracJng student data
"San Francisco, CA",
"Wealthfront’s Career-Launching Companies List, 2017 EdiJon",

CloudBees,Con.nuous deployment so7ware
"San Francisco, CA",
Cloudflare,Content delivery network and distributed domain
"San Francisco, CA",name server service
Clover Health,Health insurance
"San Francisco, CA",
Code42 So4ware,"Management, backup, storage and protec.on of"
"Minneapolis, MN",digital content
Couchbase,NoSQL database
"Mountain View, CA",
CrowdStrike,Threat analysis and preven.on
"Irvine, CA",
D,
Datadog,Monitoring of cloud services
"New York, NY",
DataStax,Distributed database technology build on Cassandra
"Santa Clara, CA",
Deem,Commerce-as-a-service
"San Francisco, CA",
Delphix,"So7ware to provision, manage, and refresh databases"
"San Francisco, CA",
DigitalOcean,Cloud hos.ng service for developers
"New York, NY",
"Wealthfront’s Career-Launching Companies List, 2017 Edi.on",

Docker,"Open pla6orm to build, ship, and run distributed"
"San Francisco, CA",applica<ons
DocuSign,E-signature technology for signing documents online
"San Francisco, CA",
Domo,Execu<ve business intelligence pla6orm
"American Fork, UT",
DoorDash,Food delivery service
"San Francisco, CA",
"Dough, Inc.",Op<ons trading pla6orm
"Chicago, IL",
Drawbridge,Anonymous cross-device communica<on pla6orm
"San Mateo, CA",
Duo Security,Cloud-based two-factor authen<ca<on
"Ann Arbor, MI",
E,
Elas8c,Advanced open source search and analy<cs engine
"Mountain View, CA",
Elementum,SoKware to make a supply chains simple
"Mountain View, CA",
Elevate,Online credit solu<ons
"Fort Worth, TX",
Eventbrite,Online events marketplace
"San Francisco, CA",
"Wealthfront’s Career-Launching Companies List, 2017 Edi<on",

Everlane,Online vendor of luxury clothing
"San Francisco, CA",
ExtraHop,Real-?me opera?onal intelligence
"Sea/le, WA",
F,
ForeScout Technologies,SoBware to control and orchestrate IoT (internet of
"San Jose, CA",things) devices
ForgeRock,Open source iden?ty management solu?ons
"San Francisco, CA",
Freshdesk,Cloud-based customer support soBware
"San Francisco, CA",
Funding Circle,Online marketplace for business loans
"San Francisco, CA",
Fuze,Unified communica?ons services
"Boston, MA",
G,
GitHub,Git repository and social network for engineers
"San Francisco, CA",
Glassdoor,"Job, salary, and benefit review plaNorm for job seekers"
"Mill Valley, CA",
GoFundMe,Crowd-funding plaNorm for life events
"Redwood City, CA",
"Wealthfront’s Career-Launching Companies List, 2017 Edi?on",

Grand Rounds,Outcomes management plaHorm
"San Francisco, CA",
Gusto,Small company payroll and benefits
"San Francisco, CA",
H,
Health Catalyst,Organizes health-related data
"Salt Lake City, UT",
HireVue,RecruiDng producDvity soEware
"Salt Lake City, UT",
Hootsuite,Enterprise social media relaDonship plaHorm
"Vancouver, Canada",
Hotel Tonight,Mobile hotel same-day booking applicaDon
"San Francisco, CA",
Houzz,Online plaHorm for home interior design
"Palo Alto, CA",
Hudl,Sports video analysis and coaching tools
"Lincoln, NE",
I,
Ibo4a,Tools to encourage consumers to learn about their
"Denver, CO",favorite brands
IEX,Transparent securiDes exchange
"New York, NY",
"Wealthfront’s Career-Launching Companies List, 2017 EdiDon",

InsideSales,Sales accelera=on pla@orm
"Salt Lake City, UT",
Instacart,Grocery delivery service
"San Francisco, CA",
Instart Logic,Endpoint-aware applica=on delivery solu=ons
"Palo Alto, CA",
Intercom,Customer communica=on pla@orm
"San Francisco, CA",
ipsy,Beauty products sampling service
"San Mateo, CA",
IQMS,Enterprise resource planning soCware
"Paso Robles, CA",
J,
Jana,App discovery service
"Boston, MA",
L,
La4ce Engines,"Cloud-based, data-driven applica=ons for marke=ng"
"San Mateo, CA",and sales ac=vi=es
LendingHome,Mortgage lender
"San Francisco, CA",
Looker,Business intelligence soCware
"Santa Cruz, CA",
"Wealthfront’s Career-Launching Companies List, 2017 Edi=on",

Lookout,Mobile protec>on applica>ons
"San Francisco, CA",
M,
MapR Technologies,"Enterprise-grade, big data pla9orm"
"San Jose, CA",
MarkLogic,So;ware solu>ons for handling big data applica>ons
"San Carlos, CA",
Medallia,SaaS-based customer experience management systems
"Palo Alto, CA",
MetaSwitch Networks,Technologies that migrate communica>on networks
"San Francisco, CA",to open architectures
Minted,Crowd-sourced graphic designs and content
"San Francisco, CA",
N,
Namely,"HR, payroll, and benefits pla9orm"
"New York, NY",
NerdWallet,Personal finance content site
"San Francisco, CA",
Netskope,Cloud access security broker
"Los Altos, CA",
Nextdoor,Neighborhood based social network
"San Francisco, CA",
"Wealthfront’s Career-Launching Companies List, 2017 Edi>on",

O,
Okta,Iden9ty management service for the enterprise
"San Francisco, CA",
One Medical Group,Employee wellness assessment and physician
"San Francisco, CA",primary care services
OneSource Virtual,Implementa9on and delivery of Workday services
"Irving, TX",
P,
Percolate,Web and mobile marke9ng soDware
"New York, NY",
PlanGrid,Cloud-based applica9on to store blue print and
"San Francisco, CA",construc9on documents
Plex Systems,Cloud-based enterprise resource planning technology
"Detroit, MI",
Pond5,Hub to buy and sell media
"New York, NY",
POPSUGAR,Content publica9on network specializing in
"San Francisco, CA","entertainment, fashion, paren9ng, fitness, and food"
Postmates,Urban delivery service
"San Francisco, CA",
Prodege,Internet media proper9es
"Los Angeles, CA",
"Wealthfront’s Career-Launching Companies List, 2017 Edi9on",

Puppet Labs,Informa0on technology automa0on so8ware
"Portland, OR",
Q,
Qualtrics,SaaS insight and survey plaForm
"Provo, UT",
Quantcast,Digital adver0sing company for marketers
"San Francisco, CA",
R,
Raise.com,Gi8 cards marketplace
"Chicago, IL",
Redfin,Real estate search and brokerage services
"SeaCle, WA",
Rent the Runway,Designer dresses and accessory rentals
"New York, NY",
Reputa7on.com,Enterprise reputa0on management
"Redwood City, CA",
Ring,Video door bell
"Santa Monica, CA",
Rubrik,Live data access for recovery and applica0on
"Palo Alto, CA",development
"Wealthfront’s Career-Launching Companies List, 2017 Edi0on",

S,
SeatGeek,Event >cket marketplace
"New York, NY",
Segment,API for customer data
"San Francisco, CA",
SendGrid,Cloud-based enterprise email delivery service
"Denver, CO",
Silver Peak Systems,SoFware defined WAN devices
"Santa Clara, CA",
SimpliSafe Home,
,Wireless home security systems
Security,
"Boston, MA",
Simplivity,IT infrastructure plaKorm
"Boston, MA",
Slack Technologies,Enterprise communica>on soFware
"San Francisco, CA",
Skyhigh Networks,Security for shadow and securely enable sanc>oned IT
"Campbell, CA",
SoFi,Student loan marketplace
"San Francisco, CA",
Soundcloud,Online audio distribu>on plaKorm for musicians
"San Francisco, CA",and listeners
Squarespace,Consumer focused online publishing tools
"New York, NY",
"Wealthfront’s Career-Launching Companies List, 2017 Edi>on",

S>tch Fix,Personal styling plaGorm
"San Francisco, CA",
Stripe,APIs and tools enabling businesses to accept
"San Francsico, CA",online payments
Sumo Logic,Cloud-based log management and analy:cs
"Redwood City, CA",
T,
Tanium,Enterprise security and systems management solu:ons
"Emeryville, CA",
Tastemade,Online food oriented des:na:on
"Santa Monica, CA",
TeeSpring,Commerce plaGorm for entrepreneurs
"San Francisco, CA",
Tenable Networks,Unified security monitoring solu:ons for
Security,enterprise networks
"Bal:more, MD",
Think Finance,Online financial products for underbanked consumers
"Dallas, TX",
Thought Spot,Rela:onal search engine designed for data analy:cs
"Palo Alto, CA",
ThredUp,Online consignment shop
"San Francisco, CA",
Thrive Marketplace,Online healthy food retailer
"Los Angeles, CA",
"Wealthfront’s Career-Launching Companies List, 2017 Edi:on",

Thumbtack,Online marketplace for home-related services
"San Francisco, CA",
Turo,Car sharing rental marketplace
"San Francsico, CA",
U,
UserTes(ng.com,Web tes;ng service
"San Francisco, CA",
V,
Vox Media,"Online publisher focused on sports, personal"
"Washington, DC",technology and gaming
VSCO,Photography apps and tools
"Oakland, CA",
W,
Warby Parker,Online eyewear retailer
"New York, NY",
Weebly,Website and online store crea;on tools
"San Francisco, CA",
Wish,Mobile commerce plaGorm
"San Francisco, CA",
"Wealthfront’s Career-Launching Companies List, 2017 Edi;on",

Y,
YapStone,Electronic payments for online marketplaces
"Walnut Creek, CA",
Z,
ZScaler,Cloud-delivered security services
"San Jose, CA",
"Wealthfront’s Career-Launching Companies List, 2017 EdiFon",
